manufacturer_id,name,country,founded_year,number_of_employees,annual_revenue
119,Zeta Motors 119,USA,1955,2718,99.18
120,Theta Motors 120,South Korea,1946,27217,144.35
121,Beta Motors 121,UK,1989,31673,54.33
122,Eta Motors 122,UK,1900,35249,71.54
123,Zeta Motors 123,Brazil,1903,1647,75.37
124,Kappa Motors 124,Brazil,2000,43163,134.81
125,Epsilon Motors 125,France,1999,24135,43.04
126,Kappa Motors 126,UK,1978,3772,31.3
127,Alpha Motors 127,India,1982,6928,27.98
128,Kappa Motors 128,India,1977,14631,70.71
129,Delta Motors 129,USA,1910,48150,131.57
130,Zeta Motors 130,Japan,2013,34380,36.4
131,Iota Motors 131,France,1946,30339,38.79
132,Beta Motors 132,South Korea,2020,37831,15.99
133,Iota Motors 133,Brazil,1948,45171,118.04
134,Epsilon Motors 134,China,1982,35107,141.36
135,Iota Motors 135,Germany,2005,5223,12.23
136,Gamma Motors 136,Italy,1919,15297,103.67
137,Gamma Motors 137,Brazil,1989,312,86.82
138,Alpha Motors 138,Brazil,1901,19427,47.69
139,Kappa Motors 139,Japan,1964,19782,62.0
140,Theta Motors 140,China,1935,15231,50.79
141,Eta Motors 141,UK,1901,2485,57.27
142,Epsilon Motors 142,USA,1928,46012,62.74
143,Beta Motors 143,France,1948,39238,148.96
144,Iota Motors 144,India,1904,48615,115.08
145,Kappa Motors 145,India,1922,33123,73.43
146,Gamma Motors 146,China,1961,18492,26.9
147,Alpha Motors 147,India,1951,29042,10.26
148,Beta Motors 148,Italy,1987,28213,61.86
149,Theta Motors 149,France,2013,1636,33.65
150,Kappa Motors 150,China,1920,28139,23.14
151,Alpha Motors 151,South Korea,1995,14677,89.34
152,Zeta Motors 152,Germany,1988,3281,56.06
153,Kappa Motors 153,UK,1928,41275,115.26
154,Alpha Motors 154,Italy,1909,24505,44.0
155,Iota Motors 155,India,2019,5981,12.72
156,Kappa Motors 156,Brazil,1931,38563,50.51
157,Eta Motors 157,France,2012,22305,98.56
158,Gamma Motors 158,France,2005,27961,116.31
159,Epsilon Motors 159,India,1927,39592,121.6
160,Epsilon Motors 160,Brazil,2018,31319,81.77
161,Theta Motors 161,Italy,1955,8197,30.29
162,Delta Motors 162,Germany,1953,5450,101.35
163,Epsilon Motors 163,USA,1995,28357,61.17
164,Alpha Motors 164,Germany,1934,15954,19.36
165,Theta Motors 165,Japan,2019,42395,81.79
166,Theta Motors 166,Brazil,1997,9700,106.06
167,Iota Motors 167,Italy,1976,44919,63.01
168,Iota Motors 168,Germany,1952,3094,52.79
169,Beta Motors 169,India,1912,23161,144.06
170,Theta Motors 170,Germany,2005,29427,131.19
171,Theta Motors 171,France,1974,7120,129.78
172,Zeta Motors 172,USA,2015,48448,35.43
173,Eta Motors 173,Brazil,1968,43501,44.23
174,Beta Motors 174,China,1931,35882,1.91
175,Zeta Motors 175,UK,1970,4697,15.93
176,Theta Motors 176,India,1938,16831,27.16
177,Gamma Motors 177,UK,1996,5355,139.14
178,Theta Motors 178,Japan,1913,49711,123.84
179,Epsilon Motors 179,China,1992,16560,128.7
180,Iota Motors 180,USA,1978,30603,130.04
181,Eta Motors 181,Italy,1984,16193,42.99
182,Beta Motors 182,South Korea,2000,20211,82.11
183,Delta Motors 183,Brazil,1971,38167,116.85
184,Iota Motors 184,Germany,2016,7825,28.21
185,Iota Motors 185,South Korea,1981,2707,25.32
186,Theta Motors 186,China,1945,26637,36.11
187,Epsilon Motors 187,USA,1906,19255,8.53
188,Delta Motors 188,France,1920,46048,139.74
189,Iota Motors 189,Japan,1902,19905,61.1
190,Delta Motors 190,UK,1942,48917,126.91
191,Epsilon Motors 191,China,1903,12957,101.94
192,Iota Motors 192,South Korea,1924,17551,85.35
193,Zeta Motors 193,France,1998,10692,68.0
194,Kappa Motors 194,Brazil,1914,906,120.98
195,Kappa Motors 195,Italy,1911,12275,138.48
196,Eta Motors 196,Brazil,1988,23970,117.29
197,Kappa Motors 197,China,1920,24310,82.84
198,Gamma Motors 198,Japan,1971,21362,111.86
199,Kappa Motors 199,Japan,1998,28865,35.86
200,Zeta Motors 200,Germany,2017,29936,19.34
201,Eta Motors 201,Italy,1900,23901,117.76
202,Eta Motors 202,UK,2007,36191,144.35
203,Zeta Motors 203,Italy,1978,31198,16.39
204,Iota Motors 204,Brazil,1962,28563,30.08
205,Delta Motors 205,Brazil,1930,37020,102.39
206,Gamma Motors 206,Germany,1991,20050,120.6
207,Zeta Motors 207,Italy,2001,20553,86.62
208,Iota Motors 208,Germany,1981,17028,143.44
209,Iota Motors 209,Japan,2018,32356,32.85
210,Alpha Motors 210,India,1971,22642,102.99
211,Delta Motors 211,UK,1978,12095,48.73
212,Epsilon Motors 212,USA,1972,39567,85.56
213,Epsilon Motors 213,Italy,1915,47326,122.65
214,Delta Motors 214,Brazil,1983,28074,25.68
215,Beta Motors 215,India,1946,29177,46.4
216,Zeta Motors 216,Italy,1928,1674,33.46
217,Gamma Motors 217,India,1908,34085,52.32
218,Kappa Motors 218,South Korea,1920,20406,123.16
219,Gamma Motors 219,Japan,1986,24728,40.14
220,Theta Motors 220,Japan,1927,17240,65.05
221,Iota Motors 221,China,1981,44130,75.85
222,Epsilon Motors 222,India,1933,16743,106.11
223,Alpha Motors 223,Germany,1924,28578,67.8
224,Eta Motors 224,India,2022,15628,131.54
225,Eta Motors 225,UK,2014,34001,144.22
226,Iota Motors 226,Germany,1975,15415,33.91
227,Alpha Motors 227,France,1921,28086,1.96
228,Alpha Motors 228,USA,1973,25286,19.78
229,Beta Motors 229,China,2012,30051,60.48
230,Zeta Motors 230,South Korea,1940,39882,108.03
231,Iota Motors 231,Brazil,1953,38869,148.38
232,Epsilon Motors 232,India,1920,17834,138.37
233,Theta Motors 233,USA,2017,41038,119.2
234,Eta Motors 234,UK,1966,32743,132.6
235,Delta Motors 235,South Korea,2004,2124,138.36
236,Eta Motors 236,China,1974,4510,10.56
237,Gamma Motors 237,France,1957,15818,104.75
238,Beta Motors 238,South Korea,1973,8753,88.24
239,Gamma Motors 239,Brazil,1970,5855,87.86
240,Zeta Motors 240,Brazil,1975,19322,84.62
241,Eta Motors 241,UK,1970,741,131.54
242,Gamma Motors 242,UK,1949,10192,97.69
243,Zeta Motors 243,France,2001,33116,11.03
244,Epsilon Motors 244,Brazil,1925,31841,118.27
245,Kappa Motors 245,India,1958,47911,62.01
246,Beta Motors 246,China,1915,41256,92.12
247,Gamma Motors 247,UK,1944,579,53.63
248,Eta Motors 248,Germany,1944,45731,125.63
249,Delta Motors 249,Italy,2000,28224,55.76
250,Gamma Motors 250,China,1982,28433,119.27
251,Gamma Motors 251,India,1985,4118,91.01
252,Gamma Motors 252,France,1987,25784,11.01
253,Theta Motors 253,UK,1940,47278,65.45
254,Eta Motors 254,USA,1973,25021,142.34
255,Alpha Motors 255,Italy,1960,23816,38.9
256,Theta Motors 256,South Korea,1918,1947,109.68
257,Delta Motors 257,India,1994,48211,115.26
258,Beta Motors 258,UK,2022,46287,145.28
259,Gamma Motors 259,Italy,1931,36741,91.84
260,Gamma Motors 260,South Korea,2012,20943,91.38
261,Kappa Motors 261,South Korea,1935,37572,78.47
262,Zeta Motors 262,India,1934,33017,67.65
263,Eta Motors 263,South Korea,1951,618,1.41
264,Alpha Motors 264,USA,1920,21960,36.68
265,Eta Motors 265,China,1994,29426,32.3
266,Gamma Motors 266,UK,1972,37027,39.41
267,Beta Motors 267,South Korea,1903,26615,30.0
268,Alpha Motors 268,India,1971,7712,18.95
269,Alpha Motors 269,UK,1928,2726,66.71
270,Theta Motors 270,USA,1950,42742,47.47
271,Theta Motors 271,India,1996,20366,69.92
272,Beta Motors 272,India,1941,31374,122.63
273,Alpha Motors 273,China,1914,30436,58.03
274,Zeta Motors 274,Japan,1905,26964,103.23
275,Delta Motors 275,USA,1930,34280,59.24
276,Gamma Motors 276,India,1942,29069,78.38
277,Beta Motors 277,Japan,1953,14496,39.31
278,Alpha Motors 278,Germany,1987,43563,37.93
279,Zeta Motors 279,Germany,1941,41259,66.29
280,Theta Motors 280,UK,1926,17045,111.56
281,Delta Motors 281,Japan,1931,14092,140.91
282,Iota Motors 282,France,1932,17337,64.48
283,Beta Motors 283,UK,1940,13009,22.49
284,Gamma Motors 284,UK,2007,31953,64.76
285,Delta Motors 285,Italy,1953,6627,49.78
286,Alpha Motors 286,USA,1977,8635,105.35
287,Delta Motors 287,Germany,1981,12343,82.97
288,Iota Motors 288,Japan,2004,34337,98.11
289,Zeta Motors 289,Germany,1990,8305,26.8
290,Delta Motors 290,Japan,1991,4196,0.84
291,Eta Motors 291,Italy,1947,11766,141.3
292,Kappa Motors 292,France,1940,10704,6.18
293,Zeta Motors 293,Germany,1946,24133,106.02
294,Theta Motors 294,UK,2012,43382,114.52
295,Theta Motors 295,South Korea,1975,2754,95.03
296,Delta Motors 296,UK,1935,5566,4.16
297,Alpha Motors 297,India,1997,13393,109.35
298,Theta Motors 298,UK,2005,27531,15.55
299,Kappa Motors 299,South Korea,1967,25036,88.11
300,Alpha Motors 300,France,2007,36756,6.02
301,Gamma Motors 301,Japan,1996,18793,47.92
302,Epsilon Motors 302,Japan,2016,33912,146.38
303,Eta Motors 303,India,1941,42460,8.96
304,Alpha Motors 304,USA,1900,44272,147.9
305,Kappa Motors 305,USA,1945,36605,119.13
306,Gamma Motors 306,South Korea,1900,17154,65.78
307,Iota Motors 307,Japan,2003,30091,106.3
308,Zeta Motors 308,South Korea,1932,17548,121.38
309,Kappa Motors 309,India,2021,4085,50.78
310,Epsilon Motors 310,Italy,1928,37754,86.29
311,Iota Motors 311,UK,1993,33303,121.2
312,Theta Motors 312,South Korea,1963,49685,32.39
313,Eta Motors 313,UK,1926,31864,100.15
314,Eta Motors 314,USA,1988,9354,51.04
315,Kappa Motors 315,Japan,1912,42894,5.34
316,Delta Motors 316,India,1972,37753,72.74
317,Delta Motors 317,China,2002,47833,60.63
318,Gamma Motors 318,South Korea,1935,15473,137.41
319,Kappa Motors 319,Brazil,2006,36457,125.09
320,Iota Motors 320,South Korea,1999,9056,87.02
321,Delta Motors 321,Italy,2008,35752,71.44
322,Kappa Motors 322,South Korea,1995,41211,101.66
323,Alpha Motors 323,Germany,1988,16900,146.6
324,Zeta Motors 324,South Korea,1947,27971,68.6
325,Theta Motors 325,South Korea,2009,31471,23.05
326,Iota Motors 326,India,1931,49927,15.16
327,Beta Motors 327,South Korea,1918,20203,97.8
328,Theta Motors 328,UK,1920,1966,26.34
329,Zeta Motors 329,India,1979,15075,8.5
330,Iota Motors 330,Brazil,1900,11543,8.28
331,Theta Motors 331,USA,1971,42538,128.3
332,Epsilon Motors 332,South Korea,1974,10255,146.6
333,Kappa Motors 333,Italy,1936,25753,26.68
334,Alpha Motors 334,Germany,1938,36401,126.3
335,Zeta Motors 335,UK,2014,28066,127.39
336,Delta Motors 336,Germany,1989,47077,5.96
337,Theta Motors 337,UK,1916,34218,70.24
338,Epsilon Motors 338,UK,1908,37416,115.21
339,Alpha Motors 339,China,2003,7805,40.36
340,Theta Motors 340,China,1997,22495,7.29
341,Zeta Motors 341,China,1902,45342,10.46
342,Theta Motors 342,Brazil,1900,5339,32.1
343,Kappa Motors 343,Germany,2009,14946,109.55
344,Iota Motors 344,India,1904,20229,125.87
345,Eta Motors 345,UK,2008,45658,23.69
346,Iota Motors 346,China,1986,25813,143.43
347,Eta Motors 347,France,2009,18694,29.28
348,Theta Motors 348,UK,1937,48149,55.74
349,Alpha Motors 349,France,1996,37575,132.83
350,Epsilon Motors 350,Germany,1995,21797,50.54
351,Kappa Motors 351,India,1936,12676,37.9
352,Zeta Motors 352,Germany,1934,37433,100.97
353,Gamma Motors 353,USA,1980,46387,40.38
354,Alpha Motors 354,UK,1948,41994,108.07
355,Kappa Motors 355,Germany,1944,24845,74.14
356,Kappa Motors 356,USA,1957,10445,5.64
357,Theta Motors 357,Germany,2019,5733,45.62
358,Gamma Motors 358,Japan,1908,44353,32.91
359,Kappa Motors 359,UK,2013,31476,22.82
360,Alpha Motors 360,China,1918,1231,111.35
361,Zeta Motors 361,South Korea,1902,16233,111.58
362,Gamma Motors 362,Italy,1927,16524,9.51
363,Zeta Motors 363,India,1934,29739,148.18
364,Kappa Motors 364,UK,1965,29996,114.02
365,Kappa Motors 365,Japan,1967,26804,142.83
366,Beta Motors 366,South Korea,1970,32757,61.28
367,Alpha Motors 367,Italy,1912,3146,105.33
368,Iota Motors 368,France,2010,9193,69.21
369,Zeta Motors 369,Brazil,1922,8099,144.07
370,Eta Motors 370,UK,1961,3526,4.56
371,Kappa Motors 371,India,2019,12875,111.79
372,Beta Motors 372,Japan,1933,45872,74.41
373,Gamma Motors 373,China,2018,33116,106.91
374,Kappa Motors 374,UK,1993,14113,72.26
375,Theta Motors 375,Germany,1978,26960,0.64
376,Gamma Motors 376,China,1965,2539,140.98
377,Delta Motors 377,USA,2020,16580,41.07
378,Epsilon Motors 378,Italy,1992,15233,38.46
379,Beta Motors 379,Italy,2002,12696,137.99
380,Theta Motors 380,Brazil,1989,3851,73.24
381,Eta Motors 381,Italy,1916,32593,113.21
382,Theta Motors 382,France,1920,3930,12.76
383,Iota Motors 383,Germany,2015,31688,92.1
384,Beta Motors 384,China,1976,32990,37.47
385,Gamma Motors 385,Italy,1971,31458,4.13
386,Iota Motors 386,Brazil,2014,33342,146.49
387,Epsilon Motors 387,Italy,1956,30486,41.6
388,Iota Motors 388,Germany,2022,10755,94.52
389,Alpha Motors 389,China,1938,43671,68.22
390,Theta Motors 390,Japan,1978,30176,125.5
391,Kappa Motors 391,UK,1953,31540,27.6
392,Eta Motors 392,UK,1956,20233,4.79
393,Beta Motors 393,Japan,1935,48526,0.93
394,Eta Motors 394,UK,1908,45451,143.84
395,Theta Motors 395,Italy,2021,43816,108.84
396,Epsilon Motors 396,UK,1920,36390,62.89
397,Zeta Motors 397,Japan,1940,2976,11.44
398,Gamma Motors 398,UK,1981,49546,41.29
399,Zeta Motors 399,India,1974,3340,5.54
400,Eta Motors 400,UK,1997,11007,48.6
401,Delta Motors 401,South Korea,1968,23205,41.58
402,Delta Motors 402,India,1962,36775,123.22
403,Kappa Motors 403,South Korea,1973,13796,148.31
404,Alpha Motors 404,Japan,1938,24348,134.75
405,Epsilon Motors 405,Italy,1925,14980,103.67
406,Gamma Motors 406,China,1970,45318,35.26
407,Delta Motors 407,Japan,1936,29898,5.82
408,Beta Motors 408,South Korea,1973,13114,121.8
409,Zeta Motors 409,China,2003,11366,44.49
410,Zeta Motors 410,USA,1902,47868,12.54
411,Theta Motors 411,Brazil,1922,31848,132.01
412,Delta Motors 412,Italy,1928,3607,114.99
413,Delta Motors 413,Brazil,1934,4336,35.25
414,Beta Motors 414,France,1920,2273,51.55
415,Kappa Motors 415,UK,1976,26649,19.55
416,Eta Motors 416,UK,1912,21501,134.71
417,Gamma Motors 417,Italy,1961,7109,87.18
418,Beta Motors 418,France,1967,33693,35.24
419,Epsilon Motors 419,China,1964,39585,115.94
420,Kappa Motors 420,Japan,1919,30036,9.51
421,Delta Motors 421,South Korea,1932,44587,18.72
422,Beta Motors 422,UK,2002,5132,114.46
423,Kappa Motors 423,China,2008,15158,74.56
424,Kappa Motors 424,Brazil,1936,26598,120.29
425,Epsilon Motors 425,Germany,1948,46106,135.58
426,Eta Motors 426,India,1996,37213,52.22
427,Zeta Motors 427,China,1976,14992,67.78
428,Zeta Motors 428,South Korea,2008,26363,49.61
429,Beta Motors 429,Brazil,1969,19818,97.36
430,Zeta Motors 430,Germany,1910,24160,147.16
431,Eta Motors 431,China,1918,7779,129.79
432,Theta Motors 432,China,2018,17732,84.54
433,Eta Motors 433,UK,1910,19384,125.27
434,Beta Motors 434,India,1993,383,44.21
435,Epsilon Motors 435,South Korea,1997,19967,87.9
436,Iota Motors 436,UK,2001,45405,53.88
437,Iota Motors 437,Germany,1992,9545,107.97
438,Kappa Motors 438,South Korea,1940,30115,72.27
439,Alpha Motors 439,Germany,1933,46166,137.75
440,Alpha Motors 440,Germany,1952,1928,87.09
441,Theta Motors 441,South Korea,1917,24825,59.32
442,Kappa Motors 442,China,1908,33155,49.26
443,Beta Motors 443,Japan,1953,45359,67.44
444,Delta Motors 444,Germany,1977,25499,92.48
445,Eta Motors 445,Brazil,1980,49377,73.23
446,Eta Motors 446,China,1923,45580,16.4
447,Beta Motors 447,UK,1910,1274,73.16
448,Eta Motors 448,China,1944,28054,124.54
449,Theta Motors 449,China,1913,45769,93.49
450,Delta Motors 450,France,1984,32298,25.28
451,Beta Motors 451,UK,1921,39648,44.61
452,Gamma Motors 452,India,1953,48191,97.68
453,Kappa Motors 453,USA,1942,15510,21.39
454,Zeta Motors 454,China,1975,38697,28.3
455,Gamma Motors 455,Italy,1933,21924,131.88
456,Kappa Motors 456,Brazil,1953,223,9.16
457,Kappa Motors 457,India,1996,765,1.07
458,Gamma Motors 458,India,1916,7706,18.27
459,Theta Motors 459,Brazil,1945,43246,45.12
460,Alpha Motors 460,China,1927,37063,33.84
461,Theta Motors 461,South Korea,1958,27069,129.13
462,Iota Motors 462,Brazil,2012,11014,97.52
463,Eta Motors 463,Germany,1988,2583,44.74
464,Theta Motors 464,Italy,1943,12323,11.59
465,Iota Motors 465,Italy,1967,19191,60.37
466,Delta Motors 466,South Korea,1960,15609,105.62
467,Delta Motors 467,USA,1979,35700,74.85
468,Delta Motors 468,India,1941,46632,104.81
469,Beta Motors 469,Germany,1929,18651,131.72
470,Beta Motors 470,Japan,1993,16223,140.78
471,Theta Motors 471,Japan,1978,36314,12.94
472,Kappa Motors 472,Brazil,2015,14143,80.99
473,Zeta Motors 473,Germany,1909,11890,48.01
474,Kappa Motors 474,Germany,1921,31099,141.95
475,Iota Motors 475,China,1975,44767,32.33
476,Delta Motors 476,China,1908,12816,52.48
477,Iota Motors 477,China,1979,12246,99.14
478,Kappa Motors 478,France,1976,10919,74.29
479,Alpha Motors 479,Japan,1921,16252,79.06
480,Theta Motors 480,Germany,1910,47757,20.57
481,Theta Motors 481,Germany,1903,16096,78.78
482,Zeta Motors 482,USA,1983,49102,127.13
483,Gamma Motors 483,South Korea,2021,38622,86.68
484,Beta Motors 484,France,1975,19968,123.88
485,Alpha Motors 485,Germany,1928,16637,30.41
486,Epsilon Motors 486,USA,1957,6168,17.9
487,Kappa Motors 487,China,1922,12301,43.32
488,Gamma Motors 488,Brazil,1914,37441,16.34
489,Iota Motors 489,France,2012,26095,133.65
490,Beta Motors 490,Germany,2014,4684,96.72
491,Gamma Motors 491,Italy,1999,23407,92.32
492,Delta Motors 492,France,1937,49534,31.87
493,Iota Motors 493,South Korea,2015,31185,71.18
494,Eta Motors 494,Brazil,1987,9944,46.59
495,Theta Motors 495,Italy,1912,36118,56.79
496,Epsilon Motors 496,China,1996,16469,107.55
497,Eta Motors 497,Brazil,2012,3195,122.33
498,Kappa Motors 498,UK,1960,40747,68.8
499,Theta Motors 499,France,1931,49204,27.78
500,Theta Motors 500,South Korea,1915,24288,57.51
501,Beta Motors 501,Brazil,1954,6128,3.23
502,Delta Motors 502,Germany,1993,15969,77.17
503,Theta Motors 503,Germany,2004,4922,123.91
504,Alpha Motors 504,Italy,1972,35850,52.38
505,Theta Motors 505,Italy,1974,18013,14.09
506,Kappa Motors 506,USA,1939,19679,140.02
507,Iota Motors 507,France,1955,47109,140.3
508,Gamma Motors 508,Japan,1914,37083,128.97
509,Kappa Motors 509,UK,2007,34476,123.37
510,Beta Motors 510,Brazil,1944,43110,23.09
511,Theta Motors 511,South Korea,2013,43370,32.2
512,Zeta Motors 512,Brazil,1933,32867,41.0
513,Alpha Motors 513,China,1917,24128,56.34
514,Kappa Motors 514,India,1926,9796,118.32
515,Iota Motors 515,South Korea,2012,39428,125.82
516,Gamma Motors 516,South Korea,1921,38074,7.42
517,Delta Motors 517,South Korea,1959,17556,60.36
518,Gamma Motors 518,Japan,1906,27616,23.87
519,Iota Motors 519,Japan,2015,39818,93.93
520,Zeta Motors 520,China,1936,23036,98.7
521,Epsilon Motors 521,USA,1964,45568,88.85
522,Epsilon Motors 522,China,1925,22848,19.65
523,Gamma Motors 523,France,1931,41086,4.11
524,Eta Motors 524,UK,1988,11083,16.62
525,Gamma Motors 525,Brazil,1930,29878,123.79
526,Delta Motors 526,Japan,1958,4148,29.0
527,Delta Motors 527,UK,1931,33863,124.93
528,Gamma Motors 528,Italy,2003,42880,103.39
529,Kappa Motors 529,Brazil,1918,35929,51.6
530,Beta Motors 530,China,1972,37895,60.98
531,Delta Motors 531,Italy,1920,41082,17.9
532,Theta Motors 532,France,1964,25098,5.2
533,Iota Motors 533,USA,1991,1616,134.21
534,Beta Motors 534,Italy,1995,46748,66.46
535,Kappa Motors 535,Brazil,1962,30860,43.75
536,Beta Motors 536,China,1913,44642,67.85
537,Theta Motors 537,UK,1903,7280,46.92
538,Alpha Motors 538,Germany,2021,37573,53.45
539,Delta Motors 539,Italy,1969,21099,148.35
540,Epsilon Motors 540,UK,1925,17527,147.52
541,Epsilon Motors 541,South Korea,1935,34569,49.65
542,Eta Motors 542,Japan,1928,46832,17.43
543,Zeta Motors 543,France,1925,35003,41.95
544,Alpha Motors 544,USA,2001,34666,14.81
545,Beta Motors 545,USA,1951,26197,141.56
546,Delta Motors 546,UK,1927,10675,35.48
547,Kappa Motors 547,USA,1998,3883,128.07
548,Iota Motors 548,Italy,1958,38927,57.14
549,Iota Motors 549,South Korea,1924,41139,83.56
550,Theta Motors 550,Germany,1966,32381,44.18
551,Kappa Motors 551,Italy,1939,29879,126.18
552,Beta Motors 552,Japan,1913,35349,6.62
553,Kappa Motors 553,Brazil,1928,12587,100.98
554,Delta Motors 554,India,2009,27148,77.16
555,Zeta Motors 555,China,1992,46693,48.72
556,Gamma Motors 556,South Korea,1960,32884,106.28
